[INFO] 16:03:02:179 TP0/(5198:5198): Soy un log!
[INFO] 20:44:01:371 TP0/(2437:2437): valor
[INFO] 20:46:11:944 TP0/(2517:2517): valor
[INFO] 21:14:03:726 TP0/(3035:3035): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:15:11:433 TP0/(3051:3051): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:51:01:562 TP0/(3191:3191): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:52:00:936 TP0/(3242:3242): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:54:23:451 TP0/(3340:3340): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:55:31:038 TP0/(3393:3393): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:55:57:929 TP0/(3446:3446): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:57:16:345 TP0/(3519:3519): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:58:10:708 TP0/(3561:3561): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

[INFO] 21:58:24:272 TP0/(3577:3577): La CLAVE es ->valor, lo lei de la IP -> 127.0.0.1, en el PUERTO ->4444.

